#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
#GREEK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
baron_greek;Droungarios;Droungarios;Droungarios;;Droungarios;;;;;;;;;x;;;;;;;;;;;;;;;0
baron_female_greek;Komissa;Komissa;Komissa;;Komissa;;;;;;;;;x;;;;;;;;;;;;;;;0
baron_title_ruler_consort_greek;Droungarios;Droungarios;Droungarios;;Droungarios;;;;;;;;;x;;;;;;;;;;;;;;;0
baron_title_ruler_consort_female_greek;Komissa;Komissa;Komissa;;Komissa;;;;;;;;;x;;;;;;;;;;;;;;;0
count_greek;Tourmarches;Tourmarches;Tourmarches;;Tourmarches;;;;;;;;;x;;;;;;;;;;;;;;;0
count_female_greek;Tourmarchissa;Tourmarchissa;Tourmarchissa;;Tourmarchissa;;;;;;;;;x;;;;;;;;;;;;;;;0
count_title_ruler_consort_greek;Tourmarches;Tourmarches;Tourmarches;;Tourmarches;;;;;;;;;x;;;;;;;;;;;;;;;0
count_title_ruler_consort_female_greek;Tourmarchissa;Tourmarchissa;Tourmarchissa;;Tourmarchissa;;;;;;;;;x;;;;;;;;;;;;;;;0
duke_greek;Doux;Doux;Doux;;Doux;;;;;;;;;x;;;;;;;;;;;;;;;0
duke_female_greek;Doukissa;Doukissa;Doukissa;;Doukissa;;;;;;;;;x;;;;;;;;;;;;;;;0
duke_title_ruler_consort_greek;Doux;Doux;Doux;;Doux;;;;;;;;;x;;;;;;;;;;;;;;;0
duke_title_ruler_consort_female_greek;Doukissa;Doukissa;Doukissa;;Doukissa;;;;;;;;;x;;;;;;;;;;;;;;;0
king_greek;Despotes;Despotes;Despotes;;Despotes;;;;;;;;;x;;;;;;;;;;;;;;;0
king_female_greek;Despoina;Despoina;Despoina;;Despoina;;;;;;;;;x;;;;;;;;;;;;;;;0
king_title_ruler_consort_greek;Despotes;Despotes;Despotes;;Despotes;;;;;;;;;x;;;;;;;;;;;;;;;0
king_title_ruler_consort_female_greek;Despoina;Despoina;Despoina;;Despoina;;;;;;;;;x;;;;;;;;;;;;;;;0
emperor_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x;;;;;;;;;;;;;;;0
emperor_female_greek;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x;;;;;;;;;;;;;;;0
