#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,;;;;;;;;;;;;;;;
########################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#HRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#######################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e_hre;Heiliges Römisches Reich;Heiliges Römisches Reich;Heiliges Römisches Reich;;Heiliges Römisches Reich;;;;;;;;;x,;;;;;;;;;;;;;;;
e_hre_adj;Kaiserliche;Kaiserliche;Kaiserliche;;Kaiserliche;;;;;;;;;x,;;;;;;;;;;;;;;;
k_germany;Deutschland;Deutschland;Deutschland;;Deutschland;;;;;;;;;x,;;;;;;;;;;;;;;;
k_germany_adj;Deutsche;Deutsche;Deutsche;;Deutsche;;;;;;;;;x,;;;;;;;;;;;;;;;
k_lotharingia;Lotharingen;Lotharingen;Lotharingen;;Lotharingen;;;;;;;;;x,;;;;;;;;;;;;;;;
k_lotharingia_adj;Lotharingi;Lotharingi;Lotharingi;;Lotharingi;;;;;;;;;x,;;;;;;;;;;;;;;;
#Lower Lothringa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_lower_lorraine;Niederlothringen;Niederlothringen;Niederlothringen;;Niederlothringen;;;;;;;;;x,;;;;;;;;;;;;;;;
k_lower_lorraine_adj;Niederlothringische;Niederlothringische;Niederlothringische;;Niederlothringische;;;;;;;;;x,;;;;;;;;;;;;;;;
d_julich;Jülich;Jülich;Jülich;;Jülich;;;;;;;;;x,;;;;;;;;;;;;;;;
d_julich_adj;Jülichische;Jülichische;Jülichische;;Jülichische;;;;;;;;;x,;;;;;;;;;;;;;;;
d_limburg;Limburg;Limburg;Limburg;;Limburg;;;;;;;;;x,;;;;;;;;;;;;;;;
d_limburg_adj;Limburgse;Limburgse;Limburgse;;Limburgse;;;;;;;;;x,;;;;;;;;;;;;;;;
d_berg;Jülich-Kleve-Berg;Jülich-Kleve-Berg;Jülich-Kleve-Berg;;Jülich-Kleve-Berg;;;;;;;;;x,;;;;;;;;;;;;;;;
d_berg_adj;Niederrheinische;Niederrheinische;Niederrheinische;;Niederrheinische;;;;;;;;;x,;;;;;;;;;;;;;;;
d_koln;Köln;Köln;Köln;;Köln;;;;;;;;;x,;;;;;;;;;;;;;;;
d_koln_adj;Kölsche;Kölsche;Kölsche;;Kölsche;;;;;;;;;x,;;;;;;;;;;;;;;;
d_liege;Liége;Liége;Liége;;Liége;;;;;;;;;x,;;;;;;;;;;;;;;;
d_liege_adj;Liégeois;Liégeois;Liégeois;;Liégeois;;;;;;;;;x,;;;;;;;;;;;;;;;
d_hainaut;Hainaut;Hainaut;Hainaut;;Hainaut;;;;;;;;;x,;;;;;;;;;;;;;;;
d_hainaut_adj;Wallon;Wallon;Wallon;;Wallon;;;;;;;;;x,;;;;;;;;;;;;;;;
#Saxony;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_saxony;Sachsen;Sachsen;Sachsen;;Sachsen;;;;;;;;;x,;;;;;;;;;;;;;;;
k_saxony_adj;Sächsische;Sächsische;Sächsische;;Sächsische;;;;;;;;;x,;;;;;;;;;;;;;;;
