#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Bohemia;;;;;;;;;;;;;;
c_opava_adj;Opavan;Opavan;Opavan;;Opavan;;;;;;;;;x
c_zatec_adj;Zatecan;Zatecan;Zatecan;;Zatecan;;;;;;;;;x
#Baltics;;;;;;;;;;;;;;
c_barth_adj;Barthish;Barth;Barth;;Barth;;;;;;;;;x
c_szvuine_adj;Szvuine;Szvuine;Szvuine;;Szvuine;;;;;;;;;x
c_deltuva_adj;Deltuvian;Deltuvian;Deltuvian;;Deltuvian;;;;;;;;;x
c_jeriska_adj;Jeriskaian;Jeriskaian;Jeriskaian;;Jeriskaian;;;;;;;;;x
c_kolberg_adj;Kolobrzeg;Kolobrzeg;Kolobrzeg;;Kolobrzeg;;;;;;;;;x
c_zemgalians_adj;Zemgalian;Zemgalian;Zemgalian;;Zemgalian;;;;;;;;;x
c_jarva_adj;Järvian;Järvian;Järvian;;Järvian;;;;;;;;;x
c_selija_adj;Selijan;Selijan;Selijan;;Selijan;;;;;;;;;x
c_metsepole_adj;Metsepolian;Metsepolian;Metsepolian;;Metsepolian;;;;;;;;;x
c_laanemaa_adj;Laanemaaian;Laanemaaian;Laanemaaian;;Laanemaaian;;;;;;;;;x
c_atzele_adj;Atzeleian;Atzeleian;Atzeleian;;Atzeleian;;;;;;;;;x
c_trakai_adj;Trakaian;Trakaian;Trakaian;;Trakaian;;;;;;;;;x
c_lida_adj;Lyda;Lyda;Lyda;;Lyda;;;;;;;;;x
c_sudovia_adj;Sudovia;Sudovia;Sudovia;;Sudovia;;;;;;;;;x
c_yatvyagi_adj;Dainava;Dainava;Dainava;;Dainava;;;;;;;;;x
c_asmena_adj;Ašmena;Ašmena;Ašmena;;Ašmena;;;;;;;;;x
c_upyte_adj;Upytian;Upytian;Upytian;;Upytian;;;;;;;;;x
c_nalshia_adj;Nalsian;Nalsian;Nalsian;;Nalsian;;;;;;;;;x
c_bandava_adj;Bandavaish;Bandava;Bandava;;Bandava;;;;;;;;;x
c_duvzare_adj;Duvzarish;Duvzare;Duvzare;;Duvzare;;;;;;;;;x
c_vaiga_adj;Vaigan;Vaiga;Vaiga;;Vaiga;;;;;;;;;x
c_toreida_adj;Toreidan;Toreida;Toreida;;Toreida;;;;;;;;;x
#Denmark;;;;;;;;;;;;;;
c_skane_adj;Væstær Skanskr;Væstær Skanskr;Væstær Skanskr;;Væstær Skanskr;;;;;;;;;x
c_northern_skane_adj;Nørræ Skanskr;Nørræ Skanskr;Nørræ Skanskr;;Nørræ Skanskr;;;;;;;;;x
c_eastern_skane_adj;Østær Skanskr;Østær Skanskr;Østær Skanskr;;Østær Skanskr;;;;;;;;;x
c_blekinge_adj;Blekynghr;Blekynghr;Blekynghr;;Blekynghr;;;;;;;;;x
c_sjaelland_adj;Nørræ Syalandr;Nørræ Syalandr;Nørræ Syalandr;;Nørræ Syalandr;;;;;;;;;x
c_western_sjaelland_adj;Wæstær Syalandr;Wæstær Syalandr;Wæstær Syalandr;;Wæstær Syalandr;;;;;;;;;x
c_southern_sjaelland_adj;Syndræ Syalandr;Syndræ Syalandr;Syndræ Syalandr;;Syndræ Syalandr;;;;;;;;;x
c_lolland_adj;Lalandr;Lalandr;Lalandr;;Lalandr;;;;;;;;;x
c_fyn_adj;Fyunr;Fyunr;Fyunr;;Fyunr;;;;;;;;;x
c_northern_halland_adj;Nørræ Hallandr;Nørræ Hallandr;Nørræ Hallandr;;Nørræ Hallandr;;;;;;;;;x
c_halland_adj;Syndræ Hallandr;Syndræ Hallandr;Syndræ Hallandr;;Syndræ Hallandr;;;;;;;;;x
c_jylland_adj;Abosysælr;Abosysælr;Abosysælr;;Abosysælr;;;;;;;;;x
c_central_jylland_adj;Warwithsysælr;Warwithsysælr;Warwithsysælr;;Warwithsysælr;;;;;;;;;x
c_northeastern_jylland_adj;Himbræsysælr;Himbræsysælr;Himbræsysælr;;Himbræsysælr;;;;;;;;;x
c_northern_jylland_adj;Wændlesysælr;Wændlesysælr;Wændlesysælr;;Wændlesysælr;;;;;;;;;x
c_western_jylland_adj;Harthæsysælr;Harthæsysælr;Harthæsysælr;;Harthæsysælr;;;;;;;;;x
c_samsoe_adj;Samsør;Samsør;Samsør;;Samsør;;;;;;;;;x
c_slesvig_adj;Istathesysælr;Istathesysælr;Istathesysælr;;Istathesysælr;;;;;;;;;x
c_southern_jylland_adj;Ellæmsysælr;Ellæmsysælr;Ellæmsysælr;;Ellæmsysælr;;;;;;;;;x
c_north_frisia_adj;Utlandr;Utlandr;Utlandr;;Utlandr;;;;;;;;;x
c_bornholm_adj;Burghændæholmr;Burghændæholmr;Burghændæholmr;;Burghændæholmr;;;;;;;;;x
#HRE;;;;;;;;;;;;;;
c_ravensberg_adj;Ravensbergische;Ravensbergische;Ravensbergische;;Ravensbergische;;;;;;;;;x
c_kuenring_adj;Küenringische;Küenringische;Küenringische;;Küenringische;;;;;;;;;x
c_comburg_adj;Comburger;Comburger;Comburger;;Comburger;;;;;;;;;x
c_chur_adj;Churische;Churische;Churische;;Churische;;;;;;;;;x
c_celje_adj;Celjen;Celjen;Celjen;;Celjen;;;;;;;;;x
c_tregor_adj;Trégorian;Trégorian;Trégorian;;Trégorian;;;;;;;;;x
c_dannenberg_adj;Dannenbergische;Dannenbergische;Dannenbergische;;Dannenbergische;;;;;;;;;x
c_lauffen_adj;Lauffische;Lauffische;Lauffische;;Lauffische;;;;;;;;;x
c_merseburg_adj;Merseburgische;Merseburgische;Merseburgische;;Merseburgische;;;;;;;;;x
c_goslar_adj;Goslarische;Goslarische;Goslarische;;Goslarische;;;;;;;;;x
c_ansbach_adj;Ansbachische;Ansbachische;Ansbachische;;Ansbachische;;;;;;;;;x
c_prignitz_adj;Prignitzische;Prignitzische;Prignitzische;;Prignitzische;;;;;;;;;x
c_voigtland_adj;Voigtlandische;Voigtlandische;Voigtlandische;;Voigtlandische;;;;;;;;;x
c_konigssondergau_adj;Königsondergauische;Königsondergauische;Königsondergauische;;Königsondergauische;;;;;;;;;x
c_zweibrucken_adj;Zweibrückische;Zweibrückische;Zweibrückische;;Zweibrückische;;;;;;;;;x
c_reinholdsburg_adj;Reinholdsburgische;Reinholdsburgische;Reinholdsburgische;;Reinholdsburgische;;;;;;;;;x
